8.0451	-23.4163
8.80459	-22.9668
10.0942	-22.789
11.5836	-22.7968
13.2216	-22.9904
15.0074	-22.4597
16.8649	-22.4111
18.7439	-22.356
19.6945	-22.386
20.9688	-22.4363
22.4161	-22.3235
24.1103	-21.8119
25.926	-21.8421
27.7387	-21.7274
29.5732	-21.1214
31.4543	-21.2348
33.3077	-20.512
35.1584	-19.4589
36.8833	-18.7611
38.6305	-17.8189
40.4738	-16.9113
42.3393	-15.9414
44.1781	-15.2239
46.0637	-14.7864
47.996	-14.747
49.8775	-14.5975
51.7815	-14.7632
53.6838	-14.6121
55.6087	-14.6851
57.5564	-14.8667
59.4784	-15.1224
61.7393	-14.93
63.7072	-14.9773
65.7469	-15.2693
67.7128	-15.2317
69.217	-15.9269
71.0119	-15.9506
72.9276	-16.1474
